HMLabel,HMUdogodnienia,HMMieszkania,n,USIfeature
"wysokość mieszkania: 2,56 m",,,6,
powierzchnie zewnętrzne: taras,,,6,
termin oddania: iii kwartał 2026,,,6,
Wys. apartamentu inwestycyjnego,,,6,
Dostępna liczba ofert: 16,,,6,
dostępna liczba ofert: 4,,,5,
dostępna liczba ofert: 69,,,5,
"teren: miejsca parkingowe, plac zabaw, teren rekreacyjny",,,5,
"wysokość mieszkania: 2,63 m",,,5,
"wysokość mieszkania: 2,67 m",,,5,
"powierzchnie zewnętrzne: balkon, loggia",,,5,
"powierzchnie zewnętrzne: balkon, loggia, ogródek, taras",,,5,
dostępna liczba ofert: 18,,,5,
powierzchnie zewnętrzne: ogródek,,,5,
"powierzchnie zewnętrzne: ogródek, balkon",,,5,
swimming_pool,,,5,
"Wys. apartamentu inwestycyjnego: 2,60 m",,,5,
"Wysokość mieszkania: 2,57 m",,,5,
"Wysokość mieszkania: 2,58 m",,,5,
Budynek: panele fotowoltaiczne,,,5,
"Wysokość mieszkania: 2,54 m",,,5,
dostępna liczba ofert: 20,,,4,
"powierzchnie zewnętrzne: balkon, loggia, taras",,,4,
dostępna liczba ofert: 63,,,4,
termin oddania: i kwartał 2026,,,4,
"teren: ochrona, plac zabaw, teren rekreacyjny",,,4,
"teren: miejsca parkingowe, ogrodzony, plac zabaw",,,4,
dostępna liczba ofert: 28,,,4,
"wysokość mieszkania: 2,64 m",,,4,
dostępna liczba ofert: 30,,,4,
"Wysokość mieszkania: 2,80 m",,,4,
"Teren: monitoring, plac zabaw",,,4,
Dostępna liczba ofert: 14,,,4,
Budynek: patio,,,4,
Dostępna liczba ofert: 48,,,4,
Termin oddania: maj 2027,,,4,
"Wysokość mieszkania: 2,68 m",,,4,
dostępna liczba ofert: 10,,,3,
dostępna liczba ofert: 103,,,3,
"garaż: garaż, parking naziemny",,,3,
dostępna liczba ofert: 24,,,3,
dostępna liczba ofert: 59,,,3,
dostępna liczba ofert: 17,,,3,
termin oddania: ii kwartał 2028,,,3,
"powierzchnie zewnętrzne: balkon, loggia, ogródek",,,3,
"powierzchnie zewnętrzne: loggia, taras",,,3,
"powierzchnie zewnętrzne: loggia, taras, ogródek, balkon",,,3,
dostępna liczba ofert: 56,,,3,
dostępna liczba ofert: 29,,,3,
"teren: plac zabaw, teren rekreacyjny",,,3,
dostępna liczba ofert: 2,,,3,
"wysokość mieszkania: 2,72 m",,,3,
"powierzchnie zewnętrzne: loggia, ogródek, taras",,,3,
Teren: teren rekreacyjny,,,3,
Dostępna liczba ofert: 49,,,3,
Termin oddania: lipiec 2027,,,3,
Dostępna liczba ofert: 50,,,3,
Dostępna liczba ofert: 27,,,3,
"Wysokość mieszkania: 2,50 m",,,3,
Dostępna liczba ofert: 51,,,3,
Termin oddania: IV kwartał 2028,,,3,
"Powierzchnie zewnętrzne: loggia, balkon, ogródek, taras",,,3,
"Budynek: ogrody na dachach, rowerownia, usługi",,,3,
Teren: ogrodzony,,,3,
Dostępna liczba ofert: 11,,,3,
"Teren: ogrodzony, plac zabaw",,,3,
"teren: monitoring, ogrodzony, stacja ładowania samochodów elektrycznych",,,2,
"teren: miejsca parkingowe, monitoring, plac zabaw, teren rekreacyjny",,,2,
"wysokość mieszkania: 2,70 - 2,90 m",,,2,
teren: stojaki rowerowe,,,2,
dostępna liczba ofert: 97,,,2,
dostępna liczba ofert: 62,,,2,
"powierzchnie zewnętrzne: ogródek, balkon, taras, loggia",,,2,
dostępna liczba ofert: 64,,,2,
dostępna liczba ofert: 9,,,2,
dostępna liczba ofert: 65,,,2,
dostępna liczba ofert: 98,,,2,
dostępna liczba ofert: 42,,,2,
dostępna liczba ofert: 129,,,2,
teren: stacja ładowania samochodów elektrycznych,,,2,
"teren: plac zabaw, restauracje, siłownia plenerowa, sklepy, strefa rekreacyjno-sportowa, strefa wypoczynku i rekreacji",,,2,
dostępna liczba ofert: 96,,,2,
"powierzchnie zewnętrzne: balkon, taras, loggia",,,2,
budynek: ogrzewanie podłogowe,,,2,
"teren: plac zabaw, stojaki na rowery",,,2,
dostępna liczba ofert: 7,,,2,
dostępna liczba ofert: 60,,,2,
"teren: miejsca parkingowe, plac zabaw, stacja ładowania samochodów elektrycznych",,,2,
"budynek: klimatyzacja, rowerownia",,,2,
"teren: monitoring, ogrody deszczowe, ogrodzony, plac zabaw",,,2,
dostępna liczba ofert: 36,,,2,
termin oddania: czerwiec 2027,,,2,
dostępna liczba ofert: 13,,,2,
dostępna liczba ofert: 33,,,2,
dostępna liczba ofert: 44,,,2,
dostępna liczba ofert: 54,,,2,
relax_area,,,2,Strafa relaksu
disabled_friendly,,,2,
sport_fields,,,2,
Miejsce parkingowe naziemne,,,2,
in_building,,,2,
developer,,,2,
Dostępna liczba ofert: 6,,,2,
"Teren: plac zabaw, stacja ładowania samochodów elektrycznych",,,2,
Dostępna liczba ofert: 83,,,2,
Dostępna liczba ofert: 87,,,2,
"Budynek: usługi, wózkownia",,,2,
"Teren: miejsca parkingowe, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,2,
"Teren: monitoring, plac zabaw, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,2,
Dostępna liczba ofert: 137,,,2,
Antresola,,,2,
Termin oddania: grudzień 2027,,,2,
Dostępna liczba ofert: 22,,,2,
"Powierzchnie zewnętrzne: balkon, taras, loggia, ogródek",,,2,
Dostępna liczba ofert: 72,,,2,
"Wysokość mieszkania: 2,76 m",,,2,
"Budynek: inteligentne zarządzanie domem, klub fitness, klub malucha, panele fotowoltaiczne, pokój jogi, recepcja, usługi",,,2,
"Teren: monitoring, plac zabaw, stacja ładowania samochodów elektrycznych, stojaki rowerowe, teren rekreacyjny, ławki solarne",,,2,
Dostępna liczba ofert: 23,,,2,
Termin oddania: gotowe,,,2,
"Garaż: garaż w budynku, parking naziemny",,,2,
"Budynek: basen, część SPA/fitness, patio, recepcja, restauracja, usługi",,,2,
"Teren: całoroczne lodowisko, plac zabaw",,,2,
Dostępna liczba ofert: 8,,,2,
Termin oddania: listopad 2027,,,2,
Dostępna liczba ofert: 15,,,2,
Dostępna liczba ofert: 61,,,2,
Budynek: wideofon,,,2,
Termin oddania: rok 2027,,,2,
Dostępna liczba ofert: 19,,,2,
"Wysokość mieszkania: 2,71 m",,,2,
"Teren: plac zabaw, teren rekreacyjny, wiata i stojaki rowerowe",,,2,
Dostępna liczba ofert: 21,,,2,
"Teren: miejsca parkingowe, monitoring, plac zabaw",,,2,
"Budynek: panele fotowoltaiczne, rowerownia",,,2,
Dostępna liczba ofert: 32,,,2,
Termin oddania: czerwiec 2026,,,2,
Termin oddania: IV kwartał 2025,,,2,
wideodomofon,,1,1,Wideodomofon
"budynek: antywłamaniowe drzwi wejściowe, inteligentne zarządzanie domem, wideofon",,,1,
dostępna liczba ofert: 55,,,1,
"budynek: usługi, wideofon",,,1,
termin oddania: iv etap - iv kwartał 2026,,,1,
"powierzchnie zewnętrzne: loggia, taras, ogródek",,,1,
"teren: monitoring, plac zabaw, teren rekreacyjny",,,1,
"powierzchnie zewnętrzne: loggia, balkon, taras",,,1,
"teren: kontrola dostępu - brama przesuwna na pilota, ogrodzony, plac zabaw, stojaki rowerowe, zielone tereny wspólne",,,1,
"wysokość mieszkania: 2,53 m",,,1,
"budynek: ogrody na dachach, oświetlenie led z czujnikami ruchu i zmierzchu, panele fotowoltaiczne, panoramiczne okna w mieszkaniach, patio, rowerownia, usługi",,,1,
"wysokość mieszkania: 2,75 - 3,15 m",,,1,
"teren: miejsca parkingowe, miejsca postojowe dla gości, monitoring, ogrody, rabaty bylinowo-trawiaste, stacja ładowania samochodów elektrycznych, stojaki rowerowe na zewnątrz",,,1,
"teren: monitoring, ogrodzony",,,1,
"powierzchnie zewnętrzne: taras, ogródek, balkon, loggia",,,1,
"teren: miejsca parkingowe, strefa relaksu",,,1,
"teren: plac zabaw, wewnętrzne zielone patio",,,1,
powierzchnie dodatkowe: piwnica,,,1,
"powierzchnie zewnętrzne: balkon, pomieszczenie gospodarcze, garaż",,,1,
"teren: boksy rowerowe, miejsca parkingowe, monitoring, ogrody, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,1,
"budynek: drzwi antywłamaniowe, inteligentna wentylacja wywiewna, panele fotowoltaiczne, patio, rozbudowana instalacja elektryczna, systemy retencji wody deszczowej, usługi, wideofon",,,1,
"wysokość mieszkania: 2,62 - 3,00 m",,,1,
dostępna liczba ofert: 94,,,1,
"budynek: kotłownia gazowa, pompa ciepła",,,1,
termin oddania: etap 3 - iii kwartał 2027,,,1,
termin oddania: luty 2028,,,1,
"budynek: część spa/fitness, lobby, strefa spotkań, usługi",,,1,
"wysokość mieszkania: 2,80 - 3,00 m",,,1,
dostępna liczba ofert: 31,,,1,
"budynek: panele fotowoltaiczne, przestrzeń do jogi, sala klubowa, sauna, strefa relaksu, strefa wallness z salą fitness, wideofon",,,1,
"teren: monitoring, myjka dla pupili i rowerów, patio z kaskadową roślinnością, rowerownia z warsztatem, wózkarnia",,,1,
"wysokość mieszkania: 2,90 - 3,00 m",,,1,
"teren: miejsca postojowe dla rowerów, plac zabaw, teren rekreacyjny",,,1,
"budynek: panele fotowoltaiczne, rowerownia, usługi",,,1,
termin oddania: iii kwartał 2028,,,1,
dostępna liczba ofert: 149,,,1,
"teren: plac zabaw, teren rekreacyjny, wiata rowerowa",,,1,
"budynek: usługi, wózkownie",,,1,
dostępna liczba ofert: 112,,,1,
"teren: monitoring, ochrona, ogrodzony, plac zabaw, stojaki na rowery, teren rekreacyjny",,,1,
budynek: boks rowerowy,,,1,
"garaż: hala garażowa, parking podziemny",,,1,
termin oddania: wrzesień 2027,,,1,
"teren: boisko do siatkówki, miejsca parkingowe, monitoring, natryski plażowe, ogrodzony, plac zabaw, teren rekreacyjny, wiaty na rowery, zewnętrzna siłownia",,,1,
"budynek: basen, część spa/fitness, rowerownia",,,1,
"wys. apartamentu: 2,70 m",,,1,
"wysokość mieszkania: 2,59 m",,,1,
termin oddania: etap iiib - kwiecień 2026,,,1,
"teren: miejsca parkingowe, monitoring, ogrodzony, plac zabaw, prywatny 1.5-hektarowy park",,,1,
"budynek: rowerownia, usługi, wózkownia",,,1,
"teren: monitoring, plac zabaw, strefa relaksu",,,1,
dostępna liczba ofert: 164,,,1,
"budynek: miejsca na jednoślady, usługi",,,1,
"wysokość mieszkania: 2,54 - 3,18 m",,,1,
termin oddania: bud. k - i kwartał 2026,,,1,
"teren: kort do padla, teren rekreacyjny",,,1,
termin oddania: luty 2027,,,1,
dostępna liczba ofert: 203,,,1,
"budynek: recepcja, rowerownia",,,1,
"teren: plac zabaw, stacja naprawcza rowerów, stojaki rowerowe",,,1,
"budynek: panele fotowoltaiczne, rowerownia, system retencji wody deszczowej, wózkownia",,,1,
"powierzchnie zewnętrzne: balkon, ogródek, loggia",,,1,
"wysokość mieszkania: 2,75 - 3,00 m",,,1,
"budynek: concierge, inteligentne zarządzanie domem, patio, recepcja, rowerownia, usługi",,,1,
dostępna liczba ofert: 191,,,1,
termin oddania: etap iv - czerwiec 2027,,,1,
dostępna liczba ofert: 75,,,1,
"teren: plac zabaw, stojaki na rowery, teren rekreacyjny",,,1,
"budynek: inteligentne zarządzanie domem, panele fotowoltaiczne, rowerownia, usługi",,,1,
"budynek: inteligentne zarządzanie domem, rowerownia",,,1,
"wysokość mieszkania: 2,83 m",,,1,
"teren: plac zabaw, stacja naprawy rowerów, stojaki na rowery, teren rekreacyjny",,,1,
"garaż: garaż (wliczony w cenę), parking naziemny (wliczony w cenę)",,,1,
termin oddania: styczeń 2026,,,1,
dostępna liczba ofert: 77,,,1,
dostępna liczba ofert: 82,,,1,
"budynek: market, restauracja, rowerownia, usługi, wózkownia",,,1,
dostępna liczba ofert: 224,,,1,
"teren: bankomat, kwiaciarnia, paczkomat, pergole, plac zabaw, tężnia solankowa",,,1,
"termin oddania: gotowe do odbioru, bud. 9 - ii kwartał 2027",,,1,
dostępna liczba ofert: 78,,,1,
"teren: mała architektura, miejsca parkingowe, plac zabaw",,,1,
"wys. lokalu inwestycyjnego: 2,75 m",,,1,
"teren: monitoring, ochrona, ogrodzony, stacja ładowania samochodów elektrycznych",,,1,
garaż: garaż,,,1,
"termin oddania: etap 1 - i kwartał 2027, etap 2a - iv kwartał 2027, etap 2b - iv kwartał 2027",,,1,
"teren: miejsca parkingowe, ogrodzony, plac zabaw, teren rekreacyjny",,,1,
"wysokość mieszkania: 2,78 m",,,1,
"budynek: drzwi antywłamaniowe, inteligentne zarządzanie domem, klub fitness, panele fotowoltaiczne, rolety zewnętrzne w mieszkaniach na parterze, trzyszybowe okna, wideofon, światłowód",,,1,
"teren: monitoring, ochrona, pomieszczenia na rowery, stacja ładowania samochodów elektrycznych",,,1,
"garaż: garaż w budynku, parking podziemny",,,1,
"wysokość mieszkania: 2,72 - 2,74 m",,,1,
termin oddania: sierpień 2026,,,1,
"termin oddania: budynek e - gotowe do odbioru, budynek f - gotowe do odbioru, budynek g - grudzień 2026",,,1,
dostępna liczba ofert: 74,,,1,
"teren: monitoring, plac zabaw, siłownia plenerowa, zielony dziedziniec",,,1,
"budynek: rowerownia, usługi, wózkarnia",,,1,
one,,,1,
3,,,1,
7,,,1,
34,,,1,
77,,,1,
43,,,1,
75,,,1,
2026-03-02,,,1,
four,,,1,
"Teren: miejsca parkingowe, teren rekreacyjny",,,1,
"Budynek: Aquapark, Kids Club, basen, część SPA/fitness, klub fitness, recepcja, restauracja, sauna",,,1,
"Termin oddania: A - luty 2026, B - grudzień 2026",,,1,
Termin oddania: wrzesień 2026,,,1,
Budynek: komórki lokatorskie,,,1,
"Termin oddania: Budynek J - czerwiec 2026, Budynek K - IV kwartał 2026, Budynek O - III kwartał 2027",,,1,
"Teren: miejsca parkingowe, monitorng",,,1,
"Budynek: usługi, videodomofon",,,1,
"Budynek: biblioteczka socjalna, concierge, inteligentne zarządzanie domem, klub fitness, pokój do jogi, pokój wypoczynkowy z wygodnymi kanapami i telewizorem, sala klubowa",,,1,
"Powierzchnie zewnętrzne: ogródek, loggia, balkon, taras",,,1,
"Teren: monitoring, stacja ładowania samochodów elektrycznych",,,1,
"Wys. apartamentu: 2,63 - 5,50 m",,,1,
Dostępna liczba ofert: 221,,,1,
"Teren: ogrodzony, plac zabaw, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,1,
"Budynek: boksy rowerowe, domofon",,,1,
Dostępna liczba ofert: 68,,,1,
Dostępna liczba ofert: 195,,,1,
"Teren: odzyskiwanie wody deszczowej z systemem podlewania zieleni, trzepak dla najmłodszych",,,1,
"Budynek: boksy rowerowe, paczkomaty w każdej klatce, pomieszczenie dla mieszkańców, pomieszczenie do serwisowania rowerów, pomieszczenie ochrony i monitoring, rolety zewnętrzne w mieszkaniach na parterze, rowerownia, usługi, wideofon",,,1,
"Wysokość mieszkania: 3,40 m",,,1,
Termin oddania: październik 2027,,,1,
"Teren: monitoring, paczkomat, stojaki rowerowe",,,1,
winda,,,3322,
"Termin oddania: Etap I - II kwartał 2026, Etap II - IV kwartał 2026",,,1,
Dostępna liczba ofert: 174,,,1,
"Budynek: rowerownia, wózkownia",,,1,
"Teren: monitoring, plac zabaw, stacja ładowania samochodów elektrycznych",,,1,
"Budynek: inteligentne zarządzanie domem, myjnia rowerowa wraz z warsztatem, rowerownia",,,1,
"Teren: monitoring, ochrona, zielony dziedziniec",,,1,
"Budynek: balkony i tarasy z oświetleniem oraz płytkami w systemie wentylowanym, drzwi wejściowe firmy Dierre klasy antywłamaniowej RC4, dwa poziomy hali garażowej z możliwością wjazdu dla samochodów elektrycznych i z instalacją LPG, okna o podwyższonej akustyce, podgrzewany wjazd na halę garażową na poziom -1, przystosowany dla inwalidów, usługi, wentylacja mechaniczna typu Helios",,,1,
Dostępna liczba ofert: 12,,,1,
"Teren: monitoring, strefa odpoczynku",,,1,
"Budynek: paczkomat, rowerownia, usługi, wózkarnia",,,1,
"Budynek: lokale usługowe, recepcja, rowerownia",,,1,
"Powierzchnie zewnętrzne: taras, ogródek, loggia",,,1,
instalacja fotowoltaiczna,,,522,
Budynek: strefa cafe na parterze budynków,,,1,
"Powierzchnie zewnętrzne: taras, loggia, balkon, ogródek",,,1,
Teren: stojaki na rowery,,,1,
"Budynek: część miejsc parkingowych z ładowarkami do samochodów elektrycznych, inteligentne zarządzanie domem, panele fotowoltaiczne, patio, rowerownia, usługi",,,1,
Dostępna liczba ofert: 148,,,1,
Termin oddania: I etap - II kwartał 2028,,,1,
"Wysokość mieszkania: 2,61 m",,,1,
Dostępna liczba ofert: 99,,,1,
"Termin oddania: A,F,G - gotowe do odbioru, B,C,D,E - 30.06.2028",,,1,
Dostępna liczba ofert: 158,,,1,
"Wys. apartamentu: 2,69 m",,,1,
"Budynek: część SPA/fitness, recepcja, rowerownia, sala klubowa, sauna, siłownia, taras na dachu",,,1,
"Teren: ochrona, teren rekreacyjny",,,1,
Dostępna liczba ofert: 157,,,1,
Teren: taras wypoczynkowy na patio,,,1,
"Wys. apartamentu: 2,62 - 3,75 m",,,1,
"Budynek: przestronna sala zabaw dla dzieci, sala fitness, sala relaksu z tężnią solankową, strefa SPA z sauną, ściana solna",,,1,
Termin oddania: 31.08.2026,,,1,
"Budynek: panele fotowoltaiczne, patio",,,1,
Termin oddania: III etap - IV kwartał 2027,,,1,
"Teren: domki dla owadów, plac zabaw, stacja ładowania samochodów elektrycznych, stojaki na rowery, teren rekreacyjny",,,1,
"Budynek: instalacja fotowoltaiczna, klimatyzacja, usługi",,,1,
Dostępna liczba ofert: 160,,,1,
"Teren: miejsca parkingowe, monitoring, plac zabaw, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,1,
"Budynek: inteligentne zarządzanie domem, klub fitness, panele fotowoltaiczne, patio, recepcja, rowerownia, usługi",,,1,
Termin oddania: marzec 2028,,,1,
"Teren: punkty napraw rowerów, stacja ładowania samochodów elektrycznych, stojaki rowerowe, teren rekreacyjny",,,1,
"Budynek: inteligentne zarządzanie domem, panele fotowoltaiczne, rowerownia, siłownia, wideofon",,,1,
Dostępna liczba ofert: 122,,,1,
"Teren: monitoring, plac zabaw, stojaki na rowery",,,1,
"Powierzchnie zewnętrzne: ogródek, balkon, taras",,,1,
"Budynek: inteligentne zarządzanie domem, panele fotowoltaiczne, rowerownia, wideofon",,,1,
"Termin oddania: D - gotowe do odbioru, H - IV kwartał 2029",,,1,
"Budynek: drzwi antywłamaniowe, indywidualne liczniki, inteligentne zarządzanie domem, lobby, panele fotowoltaiczne, wideofon",,,1,
"Teren: miejsca parkingowe, miejsca postojowe dla rowerów, monitoring, plac zabaw, teren rekreacyjny",,,1,
"Wysokość mieszkania: 2,65 - 3,00 m",,,1,
"Powierzchnie zewnętrzne: balkon, ogródek, loggia, taras",,,1,
Termin oddania: 1B - lipiec 2026,,,1,
"Termin oddania: 1A - gotowe do odbioru, 2A - maj 2026",,,1,
"Wysokość mieszkania: 2,74 - 3,00 m",,,1,
"Wysokość mieszkania: 2,60 - 2,69 m",,,1,
Dostępna liczba ofert: 92,,,1,
"Wysokość mieszkania: 2,64 - 2,78 m",,,1,
"Budynek: patio, recepcja, rowerownia, usługi",,,1,
"Wysokość mieszkania: 2,76 - 2,78 m",,,1,
Dostępna liczba ofert: 176,,,1,
"Teren: fontanna, miejsca parkingowe, plac zabaw, prywatny park",,,1,
"Wysokość mieszkania: 2,70 - 3,00 m",,,1,
"Budynek: boksy garażowe, inteligentne zarządzanie domem, jacuzzi, klimatyzacja, ogrzewanie podłogowe, sauna, siłownia",,,1,
Termin oddania: ETAP II - I kwartał 2026,,,1,
"Termin oddania: Bel Mare 1, 2 - gotowe do odbioru, Aqua 1 - gotowe do odbioru, Aqua Resort - gotowe do odbioru, Aqua 2  - gotowe do odbioru",,,1,
"Teren: monitoring, ogrodzony, plac zabaw, teren rekreacyjny",,,1,
"Budynek: basen, taras na dachu, usługi",,,1,
"Budynek: reprezentacyjny hol wejściowy z recepcją, usługi",,,1,
Dostępna liczba ofert: 35,,,1,
"Teren: paczkomaty, stacja ładowania samochodów elektrycznych, stojaki na rowery, teren rekreacyjny, wózkownia",,,1,
"Wysokość mieszkania: 2,52 - 2,90 m",,,1,
Termin oddania: maj 2026,,,1,
"Teren: ochrona, ogrody, plac zabaw, stacja ładowania samochodów elektrycznych, teren rekreacyjny",,,1,
"Budynek: inteligentne zarządzanie domem, pomieszczenie rekreacyjne, recepcja, rowerownia, usługi",,,1,
"Termin oddania: I etap - gotowe do odbioru, II etap - II kwartał 2026",,,1,
"Budynek: panele fotowoltaiczne, wideodomofony",,,1,
"Teren: miejsca na rowery, miejsca parkingowe, monitoring, ogrodzony, plac zabaw, siłownia plenerowa",,,1,
"Powierzchnie zewnętrzne: loggia, ogródek",,,1,
Budynek: zielony dach,,,1,
"Budynek: ogrzewanie podłogowe, rowerownia, wózkownia",,,1,
"Budynek: monitoring, okna trzyszybowe, oświetlenie LED części wspólnych, rowerownia, usługi, zielone dachy",,,1,
Dostępna liczba ofert: 38,,,1,
"Teren: miejsca parkingowe, ogrodzony",,,1,
"Budynek: rowerownia, strefa cardio, strefa pracy i aktywności, strefa relaksu, wózkownia",,,1,
Dostępna liczba ofert: 90,,,1,
Teren: wewnętrzne patio,,,1,
Dostępna liczba ofert: 105,,,1,
Termin oddania: Etap VIII - I kwartał 2027,,,1,
"Teren: aleja parkowa, monitoring, park kieszonkowy, plac zabaw, siłownia kalisteniczna, stacja ładowania samochodów elektrycznych",,,1,
Wys. lokalu inwestycyjnego,,,1,
"Wysokość mieszkania: 2,54 - 2,56 m",,,1,
Termin oddania: kwiecień 2027,,,1,
"Teren: hamaki, miejsca parkingowe, monitoring, oczka wodne, parkingi dla rowerów, plac zabaw, strefa chillout - leżaki, teren rekreacyjny",,,1,
"Wys. apartamentu: 2,90 m",,,1,
"Termin oddania: Etap I - I kwartał 2025, Etap II - I kwartał 2025, Etap IIIB - II kwartał 2027",,,1,
"Termin oddania: Etap I - gotowe do odbioru, Etap II - gotowe do odbioru",,,1,
Termin oddania: grudzień 2026,,,1,
"Wysokość mieszkania: 2,68 - 3,20 m",,,1,
"Budynek: panele fotowoltaiczne, wideofon",,,1,
"Budynek: część SPA/fitness, patio, recepcja, sauna",,,1,
"Teren: miejsca parkingowe, monitoring, ogrodzony, plac zabaw",,,1,
"Teren: miejsca parkingowe, monitoring, ochrona, plac zabaw, strefa grilla",,,1,
"Wysokość mieszkania: 2,61 - 3,14 m",,,1,
"Budynek: sala zabaw dla dzieci, wideofon",,,1,
"Powierzchnie zewnętrzne: balkon, ogródek, taras, loggia",,,1,
Teren: monitoring,,,1,
Dostępna liczba ofert: 136,,,1,
"Budynek: rowerownia, wideodomofon",,,1,
Termin oddania: Zadanie A - październik 2027,,,1,
Teren: ogrody,,,1,
Termin oddania: Zadanie K - sierpień 2027,,,1,
Termin oddania: Zadanie H - grudzień 2026,,,1,
"Budynek: instalacja pod montaż paneli fotowoltaicznych, klimatyzacja, ogrzewanie podłogowe, rekuperacja",,,1,
"Wysokość mieszkania: 2,70 - 2,85 m",,,1,
"Budynek: kolektory słoneczne, rolety elektryczne, wózkarnia",,,1,
"Teren: ogrodzony, plac zabaw, stacja ładowania pojazdów elektrycznych",,,1,
"Budynek: rolety elektryczne, rowerownia",,,1,
Dostępna liczba ofert: 125,,,1,
"Budynek: część SPA/fitness, inteligentne zarządzanie domem, klimatyzacja, ogrzewanie podłogowe, panele fotowoltaiczne, pompa ciepła",,,1,
"Wys. apartamentu inwestycyjnego: 2,55 m",,,1,
"Teren: miejsca parkingowe, monitoring",,,1,
Dostępna liczba ofert: 66,,,1,
"Termin oddania: Etap 2 - IV kwartał 2027, Etap 4 - IV kwartał 2027, Etap 5 - IV kwartał 2027",,,1,
